#Grid-Scan using Optidos
#Timet: 20-06-24-13:54:23
#Unit: Gy
#Duration: 2 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
23.15;23.9;0;0.000961;0;0
23.35;23.9;0;0.001107;0;0
23.55;23.9;0;0.00133;0;0
23.75;23.9;0;0.001558;0;0
23.95;23.9;0;0.001808;0;0
24.15;23.9;0;0.002079;0;0
24.35;23.9;0;0.002376;0;0
24.55;23.9;0;0.002682;0;0
24.75;23.9;0;0.002962;0;0
24.95;23.9;0;0.003219;0;0
25.15;23.9;0;0.003443;0;0
25.35;23.9;0;0.003581;0;0
25.55;23.9;0;0.003637;0;0
25.75;23.9;0;0.00365;0;0
25.95;23.9;0;0.003559;0;0
26.15;23.9;0;0.003372;0;0
26.35;23.9;0;0.003187;0;0
26.55;23.9;0;0.002958;0;0
26.75;23.9;0;0.002685;0;0
26.95;23.9;0;0.002359;0;0
27.15;23.9;0;0.002084;0;0
27.35;23.9;0;0.001807;0;0
27.55;23.9;0;0.001576;0;0
27.75;23.9;0;0.001322;0;0
27.95;23.9;0;0.00113;0;0
28.15;23.9;0;0.000943;0;0
28.15;24.1;0;0.001086;0;0
27.95;24.1;0;0.001287;0;0
27.75;24.1;0;0.00153;0;0
27.55;24.1;0;0.0018;0;0
27.35;24.1;0;0.002156;0;0
27.15;24.1;0;0.0025;0;0
26.95;24.1;0;0.002926;0;0
26.75;24.1;0;0.003331;0;0
26.55;24.1;0;0.003708;0;0
26.35;24.1;0;0.004121;0;0
26.15;24.1;0;0.004405;0;0
25.95;24.1;0;0.004665;0;0
25.75;24.1;0;0.004808;0;0
25.55;24.1;0;0.004876;0;0
25.35;24.1;0;0.004771;0;0
25.15;24.1;0;0.004541;0;0
24.95;24.1;0;0.004283;0;0
24.75;24.1;0;0.003917;0;0
24.55;24.1;0;0.00351;0;0
24.35;24.1;0;0.003101;0;0
24.15;24.1;0;0.002702;0;0
23.95;24.1;0;0.00232;0;0
23.75;24.1;0;0.001948;0;0
23.55;24.1;0;0.001655;0;0
23.35;24.1;0;0.001388;0;0
23.15;24.1;0;0.001161;0;0
23.15;24.3;0;0.00136;0;0
