#Grid-Scan using Optidos
#Timet: 20-06-24-11:45:59
#Unit: Gy
#Duration: 1 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
24;24;0;0.001121;0;0
24.5;24;0;0.001463;0;0
25;24;0;0.001875;0;0
25.5;24;0;0.002095;0;0
26;24;0;0.001999;0;0
26.5;24;0;0.001702;0;0
27;24;0;0.001287;0;0
27.5;24;0;0.000888;0;0
28;24;0;0.000595;0;0
28;24.5;0;0.000881;0;0
27.5;24.5;0;0.001409;0;0
27;24.5;0;0.002234;0;0
26.5;24.5;0;0.003188;0;0
26;24.5;0;0.003938;0;0
25.5;24.5;0;0.004174;0;0
25;24.5;0;0.003714;0;0
24.5;24.5;0;0.002776;0;0
24;24.5;0;0.001847;0;0
24;25;0;0.002945;0;0
24.5;25;0;0.004683;0;0
25;25;0;0.00635;0;0
25.5;25;0;0.007186;0;0
26;25;0;0.006906;0;0
26.5;25;0;0.005693;0;0
27;25;0;0.003952;0;0
27.5;25;0;0.002372;0;0
28;25;0;0.001352;0;0
28;25.5;0;0.001719;0;0
27.5;25.5;0;0.003206;0;0
27;25.5;0;0.005565;0;0
26.5;25.5;0;0.008057;0;0
26;25.5;0;0.009718;0;0
25.5;25.5;0;0.01007;0;0
25;25.5;0;0.009075;0;0
24.5;25.5;0;0.00698;0;0
24;25.5;0;0.004475;0;0
24;26;0;0.005412;0;0
24.5;26;0;0.008273;0;0
25;26;0;0.01068;0;0
25.5;26;0;0.01187;0;0
26;26;0;0.01161;0;0
26.5;26;0;0.009853;0;0
27;26;0;0.007135;0;0
27.5;26;0;0.004216;0;0
28;26;0;0.002163;0;0
28;26.5;0;0.002211;0;0
27.5;26.5;0;0.004246;0;0
27;26.5;0;0.007367;0;0
26.5;26.5;0;0.01026;0;0
26;26.5;0;0.01207;0;0
25.5;26.5;0;0.01242;0;0
25;26.5;0;0.01124;0;0
24.5;26.5;0;0.008796;0;0
24;26.5;0;0.005829;0;0
24;27;0;0.005201;0;0
24.5;27;0;0.007825;0;0
25;27;0;0.0102;0;0
25.5;27;0;0.01142;0;0
26;27;0;0.01121;0;0
26.5;27;0;0.009576;0;0
27;27;0;0.006837;0;0
27.5;27;0;0.003976;0;0
28;27;0;0.002044;0;0
28;27.5;0;0.001593;0;0
27.5;27.5;0;0.00291;0;0
27;27.5;0;0.0051;0;0
26.5;27.5;0;0.00739;0;0
26;27.5;0;0.008905;0;0
25.5;27.5;0;0.009186;0;0
25;27.5;0;0.008194;0;0
24.5;27.5;0;0.006257;0;0
24;27.5;0;0.004046;0;0
24;28;0;0.002674;0;0
24.5;28;0;0.004044;0;0
25;28;0;0.005394;0;0
25.5;28;0;0.006091;0;0
26;28;0;0.005912;0;0
26.5;28;0;0.004856;0;0
27;28;0;0.003346;0;0
27.5;28;0;0.002023;0;0
28;28;0;0.00115;0;0
