#Grid-Scan using Optidos
#Timet: 20-06-24-12:38:46
#Unit: Gy
#Duration: 3 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
25.65;26.4;0;0.03797;0;0
25.65;26.4;0.02;0.03751;0;0
25.65;26.4;0.04;0.0367;0;0
25.65;26.4;0.06;0.03602;0;0
25.65;26.4;0.08;0.03529;0;0
25.65;26.4;0.1;0.03459;0;0
25.65;26.4;0.12;0.03387;0;0
25.65;26.4;0.14;0.03316;0;0
25.65;26.4;0.16;0.03254;0;0
25.65;26.4;0.18;0.03192;0;0
25.65;26.4;0.2;0.0313;0;0
25.65;26.4;0.22;0.03068;0;0
25.65;26.4;0.24;0.03004;0;0
25.65;26.4;0.26;0.0295;0;0
25.65;26.4;0.28;0.02889;0;0
25.65;26.4;0.3;0.02835;0;0
25.65;26.4;0.32;0.02776;0;0
25.65;26.4;0.34;0.02713;0;0
25.65;26.4;0.36;0.02664;0;0
25.65;26.4;0.38;0.0261;0;0
25.65;26.4;0.4;0.02565;0;0
25.65;26.4;0.42;0.02513;0;0
25.65;26.4;0.44;0.02464;0;0
25.65;26.4;0.46;0.02412;0;0
25.65;26.4;0.48;0.02363;0;0
25.65;26.4;0.5;0.02327;0;0
25.65;26.4;0.52;0.02281;0;0
25.65;26.4;0.54;0.02234;0;0
25.65;26.4;0.56;0.02188;0;0
25.65;26.4;0.58;0.02143;0;0
25.65;26.4;0.6;0.02109;0;0
25.65;26.4;0.62;0.02063;0;0
25.65;26.4;0.64;0.02022;0;0
25.65;26.4;0.66;0.01987;0;0
25.65;26.4;0.68;0.01944;0;0
25.65;26.4;0.7;0.01907;0;0
25.65;26.4;0.72;0.01871;0;0
25.65;26.4;0.74;0.01836;0;0
25.65;26.4;0.76;0.018;0;0
25.65;26.4;0.78;0.0177;0;0
25.65;26.4;0.8;0.0173;0;0
25.65;26.4;0.82;0.01695;0;0
25.65;26.4;0.84;0.01667;0;0
25.65;26.4;0.86;0.01633;0;0
25.65;26.4;0.88;0.01609;0;0
25.65;26.4;0.9;0.01575;0;0
25.65;26.4;0.92;0.01541;0;0
25.65;26.4;0.94;0.01511;0;0
25.65;26.4;0.96;0.01482;0;0
25.65;26.4;0.98;0.01458;0;0
25.65;26.4;1;0.01426;0;0
25.65;26.4;1.02;0.01397;0;0
25.65;26.4;1.04;0.01373;0;0
25.65;26.4;1.06;0.01345;0;0
25.65;26.4;1.08;0.01321;0;0
25.65;26.4;1.1;0.01294;0;0
25.65;26.4;1.12;0.01274;0;0
25.65;26.4;1.14;0.01247;0;0
25.65;26.4;1.16;0.01226;0;0
25.65;26.4;1.18;0.01204;0;0
