# Detector n: 1D Projection
 -7.5000000000E-01 -7.3636363636E-01  1.36985E-07  6.92248E+01
 -7.3636363636E-01 -7.2272727273E-01  1.26297E-07  3.18657E+01
 -7.2272727273E-01 -7.0909090909E-01  7.60452E-08  2.81845E+01
 -7.0909090909E-01 -6.9545454545E-01  1.29796E-07  3.10173E+01
 -6.9545454545E-01 -6.8181818182E-01  6.40420E-08  6.48170E+01
 -6.8181818182E-01 -6.6818181818E-01  1.73926E-07  2.00232E+01
 -6.6818181818E-01 -6.5454545455E-01  2.50945E-07  2.23045E+01
 -6.5454545455E-01 -6.4090909091E-01  2.98248E-07  2.03136E+01
 -6.4090909091E-01 -6.2727272727E-01  3.75336E-07  3.75971E+01
 -6.2727272727E-01 -6.1363636364E-01  3.54074E-07  1.78178E+01
 -6.1363636364E-01 -6.0000000000E-01  4.67448E-07  1.69375E+01
 -6.0000000000E-01 -5.8636363636E-01  4.09433E-07  2.81899E+01
 -5.8636363636E-01 -5.7272727273E-01  9.74331E-07  2.04954E+01
 -5.7272727273E-01 -5.5909090909E-01  9.71092E-07  2.09470E+01
 -5.5909090909E-01 -5.4545454545E-01  1.39485E-06  1.91190E+01
 -5.4545454545E-01 -5.3181818182E-01  1.41802E-06  1.92543E+01
 -5.3181818182E-01 -5.1818181818E-01  1.39029E-06  1.88385E+01
 -5.1818181818E-01 -5.0454545455E-01  1.91552E-06  1.49176E+01
 -5.0454545455E-01 -4.9090909091E-01  2.13155E-06  1.40172E+01
 -4.9090909091E-01 -4.7727272727E-01  1.96357E-06  1.41844E+01
 -4.7727272727E-01 -4.6363636364E-01  3.14466E-06  1.21649E+01
 -4.6363636364E-01 -4.5000000000E-01  2.95901E-06  1.37840E+01
 -4.5000000000E-01 -4.3636363636E-01  4.31296E-06  1.11244E+01
 -4.3636363636E-01 -4.2272727273E-01  4.46029E-06  1.15114E+01
 -4.2272727273E-01 -4.0909090909E-01  5.27117E-06  1.11265E+01
 -4.0909090909E-01 -3.9545454545E-01  6.22096E-06  1.06230E+01
 -3.9545454545E-01 -3.8181818182E-01  6.99313E-06  9.52377E+00
 -3.8181818182E-01 -3.6818181818E-01  8.18564E-06  9.41215E+00
 -3.6818181818E-01 -3.5454545455E-01  8.41186E-06  9.45259E+00
 -3.5454545455E-01 -3.4090909091E-01  1.04140E-05  8.95588E+00
 -3.4090909091E-01 -3.2727272727E-01  1.24415E-05  9.14511E+00
 -3.2727272727E-01 -3.1363636364E-01  1.34274E-05  9.19704E+00
 -3.1363636364E-01 -3.0000000000E-01  1.50813E-05  9.08653E+00
 -3.0000000000E-01 -2.8636363636E-01  1.51484E-05  8.85429E+00
 -2.8636363636E-01 -2.7272727273E-01  1.58643E-05  8.41675E+00
 -2.7272727273E-01 -2.5909090909E-01  1.68369E-05  8.25869E+00
 -2.5909090909E-01 -2.4545454545E-01  1.87198E-05  8.45648E+00
 -2.4545454545E-01 -2.3181818182E-01  2.19172E-05  8.46507E+00
 -2.3181818182E-01 -2.1818181818E-01  2.50811E-05  8.51848E+00
 -2.1818181818E-01 -2.0454545455E-01  3.02521E-05  8.62890E+00
 -2.0454545455E-01 -1.9090909091E-01  3.76624E-05  9.53301E+00
 -1.9090909091E-01 -1.7727272727E-01  6.04969E-05  1.13253E+01
 -1.7727272727E-01 -1.6363636364E-01  1.03811E-04  1.28471E+01
 -1.6363636364E-01 -1.5000000000E-01  1.87892E-04  1.37516E+01
 -1.5000000000E-01 -1.3636363636E-01  3.00991E-04  1.37769E+01
 -1.3636363636E-01 -1.2272727273E-01  4.40916E-04  1.36105E+01
 -1.2272727273E-01 -1.0909090909E-01  5.58394E-04  1.31744E+01
 -1.0909090909E-01 -9.5454545455E-02  6.52195E-04  1.27346E+01
 -9.5454545455E-02 -8.1818181818E-02  7.23703E-04  1.23644E+01
 -8.1818181818E-02 -6.8181818182E-02  7.71997E-04  1.20895E+01
 -6.8181818182E-02 -5.4545454545E-02  8.16982E-04  1.18500E+01
 -5.4545454545E-02 -4.0909090909E-02  8.52731E-04  1.16942E+01
 -4.0909090909E-02 -2.7272727273E-02  8.78367E-04  1.15813E+01
 -2.7272727273E-02 -1.3636363636E-02  8.87171E-04  1.15005E+01
 -1.3636363636E-02 -3.2959746044E-17  8.91086E-04  1.14834E+01
  0.0000000000E+00  1.3636363636E-02  8.92168E-04  1.14742E+01
  1.3636363636E-02  2.7272727273E-02  8.85219E-04  1.15032E+01
  2.7272727273E-02  4.0909090909E-02  8.73072E-04  1.15812E+01
  4.0909090909E-02  5.4545454545E-02  8.39391E-04  1.17156E+01
  5.4545454545E-02  6.8181818182E-02  8.11258E-04  1.18739E+01
  6.8181818182E-02  8.1818181818E-02  7.76472E-04  1.21127E+01
  8.1818181818E-02  9.5454545455E-02  7.12055E-04  1.23638E+01
  9.5454545455E-02  1.0909090909E-01  6.43766E-04  1.27896E+01
  1.0909090909E-01  1.2272727273E-01  5.56282E-04  1.31788E+01
  1.2272727273E-01  1.3636363636E-01  4.38336E-04  1.35866E+01
  1.3636363636E-01  1.5000000000E-01  2.99893E-04  1.38834E+01
  1.5000000000E-01  1.6363636364E-01  1.88289E-04  1.37645E+01
  1.6363636364E-01  1.7727272727E-01  1.02895E-04  1.28599E+01
  1.7727272727E-01  1.9090909091E-01  6.08616E-05  1.12470E+01
  1.9090909091E-01  2.0454545455E-01  3.87603E-05  9.57206E+00
  2.0454545455E-01  2.1818181818E-01  2.97813E-05  8.86826E+00
  2.1818181818E-01  2.3181818182E-01  2.49787E-05  8.45344E+00
  2.3181818182E-01  2.4545454545E-01  2.20995E-05  8.47105E+00
  2.4545454545E-01  2.5909090909E-01  1.80058E-05  8.80346E+00
  2.5909090909E-01  2.7272727273E-01  1.58661E-05  8.66601E+00
  2.7272727273E-01  2.8636363636E-01  1.67498E-05  8.78029E+00
  2.8636363636E-01  3.0000000000E-01  1.57201E-05  9.03430E+00
  3.0000000000E-01  3.1363636364E-01  1.42370E-05  9.33575E+00
  3.1363636364E-01  3.2727272727E-01  1.28606E-05  9.00074E+00
  3.2727272727E-01  3.4090909091E-01  1.22191E-05  9.31092E+00
  3.4090909091E-01  3.5454545455E-01  9.96069E-06  9.24420E+00
  3.5454545455E-01  3.6818181818E-01  9.43739E-06  9.61931E+00
  3.6818181818E-01  3.8181818182E-01  6.96853E-06  9.64975E+00
  3.8181818182E-01  3.9545454545E-01  6.02309E-06  1.00265E+01
  3.9545454545E-01  4.0909090909E-01  5.51394E-06  1.02290E+01
  4.0909090909E-01  4.2272727273E-01  6.20196E-06  1.09667E+01
  4.2272727273E-01  4.3636363636E-01  4.42636E-06  1.10870E+01
  4.3636363636E-01  4.5000000000E-01  4.07744E-06  1.18216E+01
  4.5000000000E-01  4.6363636364E-01  3.53984E-06  1.27536E+01
  4.6363636364E-01  4.7727272727E-01  2.71478E-06  1.32096E+01
  4.7727272727E-01  4.9090909091E-01  2.55364E-06  1.28299E+01
  4.9090909091E-01  5.0454545455E-01  1.57476E-06  1.43919E+01
  5.0454545455E-01  5.1818181818E-01  1.27469E-06  1.40032E+01
  5.1818181818E-01  5.3181818182E-01  1.21479E-06  1.66182E+01
  5.3181818182E-01  5.4545454545E-01  1.46682E-06  1.70617E+01
  5.4545454545E-01  5.5909090909E-01  1.28873E-06  2.08379E+01
  5.5909090909E-01  5.7272727273E-01  9.66379E-07  1.70800E+01
  5.7272727273E-01  5.8636363636E-01  7.05096E-07  2.03537E+01
  5.8636363636E-01  6.0000000000E-01  1.03459E-06  2.43776E+01
  6.0000000000E-01  6.1363636364E-01  5.41027E-07  2.70205E+01
  6.1363636364E-01  6.2727272727E-01  5.30457E-07  2.94743E+01
  6.2727272727E-01  6.4090909091E-01  5.05273E-07  2.73386E+01
  6.4090909091E-01  6.5454545455E-01  3.29526E-07  2.09626E+01
  6.5454545455E-01  6.6818181818E-01  2.04318E-07  2.53004E+01
  6.6818181818E-01  6.8181818182E-01  2.21162E-07  2.20579E+01
  6.8181818182E-01  6.9545454545E-01  1.82357E-07  5.57347E+01
  6.9545454545E-01  7.0909090909E-01  2.03181E-07  5.38751E+01
  7.0909090909E-01  7.2272727273E-01  5.07732E-08  4.70699E+01
  7.2272727273E-01  7.3636363636E-01  3.66753E-07  3.96592E+01
  7.3636363636E-01  7.5000000000E-01  3.73017E-08  7.10014E+01
